,Date,Percent Illumination,Total Crimes,% Illumination
549,2016-07-03,2.0,1325,0-3%
550,2016-07-04,0.0,1273,0-3%
551,2016-07-05,1.0,1343,0-3%
552,2016-07-06,4.0,1370,4-10%
553,2016-07-07,9.0,1353,4-10%
554,2016-07-08,16.0,1253,11-21%
555,2016-07-09,24.0,1306,22-35%
556,2016-07-10,33.0,1264,22-35%
557,2016-07-11,42.0,1230,36-50%
558,2016-07-12,52.0,1256,51-65%
559,2016-07-13,61.0,1309,51-65%
560,2016-07-14,70.0,1400,66-78%
561,2016-07-15,78.0,1426,66-78%
562,2016-07-16,86.0,1411,79-89%
563,2016-07-17,92.0,1274,90-96%
564,2016-07-18,97.0,1323,90-96%
565,2016-07-19,99.0,1357,97-100%
566,2016-07-20,100.0,1383,97-100%
567,2016-07-21,98.0,1403,97-100%
568,2016-07-22,94.0,1427,90-96%
569,2016-07-23,88.0,1428,79-89%
570,2016-07-24,80.0,1341,79-89%
571,2016-07-25,70.0,1257,66-78%
572,2016-07-26,59.0,1398,51-65%
573,2016-07-27,47.0,1416,36-50%
574,2016-07-28,36.0,1369,36-50%
575,2016-07-29,25.0,1339,22-35%
576,2016-07-30,16.0,1288,11-21%
577,2016-07-31,9.0,1187,4-10%
578,2016-08-01,3.0,1622,0-3%
579,2016-08-02,1.0,1315,0-3%
580,2016-08-03,0.0,1328,0-3%
581,2016-08-04,2.0,1324,0-3%
582,2016-08-05,6.0,1506,4-10%
583,2016-08-06,12.0,1324,11-21%
584,2016-08-07,19.0,1344,11-21%
585,2016-08-08,27.0,1357,22-35%
586,2016-08-09,36.0,1337,36-50%
587,2016-08-10,45.0,1444,36-50%
588,2016-08-11,54.0,1319,51-65%
589,2016-08-12,64.0,1379,51-65%
590,2016-08-13,73.0,1376,66-78%
591,2016-08-14,81.0,1351,79-89%
592,2016-08-15,88.0,1354,79-89%
593,2016-08-16,94.0,1448,90-96%
594,2016-08-17,98.0,1403,97-100%
595,2016-08-18,100.0,1370,97-100%
596,2016-08-19,99.0,1424,97-100%
597,2016-08-20,96.0,1498,90-96%
598,2016-08-21,90.0,1293,79-89%
599,2016-08-22,82.0,1338,79-89%
600,2016-08-23,72.0,1355,66-78%
601,2016-08-24,61.0,1404,51-65%
602,2016-08-25,49.0,1454,36-50%
603,2016-08-26,38.0,1434,36-50%
604,2016-08-27,28.0,1361,22-35%
605,2016-08-28,18.0,1420,11-21%
606,2016-08-29,11.0,1308,11-21%
607,2016-08-30,5.0,1368,4-10%
608,2016-08-31,1.0,1328,0-3%
609,2016-09-01,0.0,1463,0-3%
610,2016-09-02,1.0,1416,0-3%
611,2016-09-03,3.0,1369,0-3%
612,2016-09-04,8.0,1294,4-10%
613,2016-09-05,14.0,1324,11-21%
614,2016-09-06,21.0,1316,11-21%
615,2016-09-07,29.0,1333,22-35%
616,2016-09-08,38.0,1344,36-50%
617,2016-09-09,47.0,1413,36-50%
618,2016-09-10,57.0,1362,51-65%
619,2016-09-11,67.0,1268,66-78%
620,2016-09-12,76.0,1218,66-78%
621,2016-09-13,84.0,1266,79-89%
622,2016-09-14,91.0,1362,90-96%
623,2016-09-15,97.0,1438,90-96%
624,2016-09-16,100.0,1433,97-100%
625,2016-09-17,100.0,1308,97-100%
626,2016-09-18,97.0,1297,90-96%
627,2016-09-19,92.0,1078,90-96%
628,2016-09-20,84.0,1362,79-89%
629,2016-09-21,74.0,1329,66-78%
630,2016-09-22,64.0,1379,51-65%
631,2016-09-23,52.0,1467,51-65%
632,2016-09-24,41.0,1322,36-50%
633,2016-09-25,31.0,1202,22-35%
634,2016-09-26,22.0,1241,22-35%
635,2016-09-27,14.0,1252,11-21%
636,2016-09-28,7.0,1326,4-10%
637,2016-09-29,3.0,1292,0-3%
638,2016-09-30,1.0,1252,0-3%
639,2016-10-01,0.0,1547,0-3%
640,2016-10-02,1.0,1215,0-3%
641,2016-10-03,5.0,1261,4-10%
642,2016-10-04,9.0,1334,4-10%
643,2016-10-05,15.0,1307,11-21%
644,2016-10-06,23.0,1365,22-35%
645,2016-10-07,31.0,1440,22-35%
646,2016-10-08,41.0,1286,36-50%
647,2016-10-09,50.0,1126,36-50%
648,2016-10-10,60.0,1167,51-65%
649,2016-10-11,70.0,1275,66-78%
650,2016-10-12,80.0,1326,79-89%
651,2016-10-13,88.0,1346,79-89%
652,2016-10-14,94.0,1354,90-96%
653,2016-10-15,99.0,1375,97-100%
654,2016-10-16,100.0,1373,97-100%
655,2016-10-17,98.0,1331,97-100%
656,2016-10-18,94.0,1470,90-96%
657,2016-10-19,87.0,1414,79-89%
658,2016-10-20,78.0,1459,66-78%
659,2016-10-21,67.0,1500,66-78%
660,2016-10-22,57.0,1333,51-65%
661,2016-10-23,46.0,1235,36-50%
662,2016-10-24,36.0,1244,36-50%
663,2016-10-25,26.0,1221,22-35%
664,2016-10-26,18.0,1283,11-21%
665,2016-10-27,11.0,1207,11-21%
666,2016-10-28,6.0,1371,4-10%
667,2016-10-29,2.0,1361,0-3%
668,2016-10-30,0.0,1327,0-3%
669,2016-10-31,0.0,1394,0-3%
670,2016-11-01,2.0,1594,0-3%
671,2016-11-02,6.0,1410,4-10%
672,2016-11-03,11.0,1393,11-21%
673,2016-11-04,17.0,1469,11-21%
674,2016-11-05,25.0,1328,22-35%
675,2016-11-06,34.0,1125,22-35%
676,2016-11-07,44.0,1152,36-50%
677,2016-11-08,54.0,1195,51-65%
678,2016-11-09,65.0,1205,51-65%
679,2016-11-10,75.0,1253,66-78%
680,2016-11-11,84.0,1204,79-89%
681,2016-11-12,92.0,1232,90-96%
682,2016-11-13,97.0,1176,90-96%
683,2016-11-14,100.0,1182,97-100%
684,2016-11-15,99.0,1215,97-100%
685,2016-11-16,96.0,1288,90-96%
686,2016-11-17,90.0,1331,79-89%
687,2016-11-18,82.0,1462,79-89%
688,2016-11-19,72.0,1250,66-78%
689,2016-11-20,62.0,1094,51-65%
690,2016-11-21,52.0,1092,51-65%
691,2016-11-22,42.0,1198,36-50%
692,2016-11-23,32.0,1315,22-35%
693,2016-11-24,23.0,875,22-35%
694,2016-11-25,16.0,1318,11-21%
695,2016-11-26,10.0,1241,4-10%
696,2016-11-27,5.0,1137,4-10%
697,2016-11-28,2.0,1214,0-3%
698,2016-11-29,0.0,1144,0-3%
699,2016-11-30,1.0,1297,0-3%
700,2016-12-01,3.0,1573,0-3%
701,2016-12-02,7.0,1329,4-10%
702,2016-12-03,12.0,1356,11-21%
703,2016-12-04,20.0,1129,11-21%
704,2016-12-05,28.0,1225,22-35%
705,2016-12-06,38.0,1232,36-50%
706,2016-12-07,48.0,1311,36-50%
707,2016-12-08,59.0,1217,51-65%
708,2016-12-09,70.0,1275,66-78%
709,2016-12-10,80.0,1291,79-89%
710,2016-12-11,89.0,1109,79-89%
711,2016-12-12,95.0,1171,90-96%
712,2016-12-13,99.0,1232,97-100%
713,2016-12-14,100.0,1302,97-100%
714,2016-12-15,98.0,1152,97-100%
715,2016-12-16,93.0,1217,90-96%
716,2016-12-17,86.0,1140,79-89%
717,2016-12-18,78.0,1156,66-78%
718,2016-12-19,69.0,1132,66-78%
719,2016-12-20,59.0,1290,51-65%
720,2016-12-21,49.0,1256,36-50%
721,2016-12-22,39.0,1299,36-50%
722,2016-12-23,30.0,1344,22-35%
723,2016-12-24,22.0,1084,22-35%
724,2016-12-25,15.0,907,11-21%
725,2016-12-26,9.0,1030,4-10%
726,2016-12-27,4.0,1255,4-10%
727,2016-12-28,1.0,1192,0-3%
728,2016-12-29,0.0,1151,0-3%
729,2016-12-30,1.0,1234,0-3%
730,2016-12-31,4.0,1138,4-10%
731,2017-01-01,8.0,1986,4-10%
732,2017-01-02,15.0,1030,11-21%
733,2017-01-03,23.0,1272,22-35%
734,2017-01-04,33.0,1263,22-35%
735,2017-01-05,43.0,1265,36-50%
736,2017-01-06,54.0,1202,51-65%
737,2017-01-07,66.0,980,51-65%
738,2017-01-08,76.0,892,66-78%
739,2017-01-09,85.0,986,79-89%
740,2017-01-10,93.0,1214,90-96%
741,2017-01-11,98.0,1206,97-100%
742,2017-01-12,100.0,1376,97-100%
743,2017-01-13,99.0,1377,97-100%
744,2017-01-14,96.0,1255,90-96%
745,2017-01-15,91.0,1074,90-96%
746,2017-01-16,84.0,1105,79-89%
747,2017-01-17,76.0,1266,66-78%
748,2017-01-18,66.0,1310,51-65%
749,2017-01-19,57.0,1242,51-65%
750,2017-01-20,47.0,1460,36-50%
751,2017-01-21,38.0,1322,36-50%
752,2017-01-22,29.0,1239,22-35%
753,2017-01-23,21.0,1191,11-21%
754,2017-01-24,14.0,1163,11-21%
755,2017-01-25,8.0,1270,4-10%
756,2017-01-26,3.0,1284,0-3%
757,2017-01-27,1.0,1303,0-3%
758,2017-01-28,0.0,1254,0-3%
759,2017-01-29,2.0,1129,0-3%
760,2017-01-30,5.0,1104,4-10%
761,2017-01-31,11.0,1104,11-21%
762,2017-02-01,19.0,1489,11-21%
763,2017-02-02,29.0,1281,22-35%
764,2017-02-03,39.0,1261,36-50%
765,2017-02-04,50.0,1135,36-50%
766,2017-02-05,62.0,1182,51-65%
767,2017-02-06,73.0,1192,66-78%
768,2017-02-07,82.0,1110,79-89%
769,2017-02-08,90.0,1313,79-89%
770,2017-02-09,96.0,770,90-96%
771,2017-02-10,99.0,1169,97-100%
772,2017-02-11,100.0,1217,97-100%
773,2017-02-12,98.0,1049,97-100%
774,2017-02-13,95.0,1102,90-96%
775,2017-02-14,89.0,1143,79-89%
776,2017-02-15,82.0,1212,79-89%
777,2017-02-16,74.0,1143,66-78%
778,2017-02-17,65.0,1215,51-65%
779,2017-02-18,56.0,1221,51-65%
780,2017-02-19,46.0,1161,36-50%
781,2017-02-20,37.0,1094,36-50%
782,2017-02-21,28.0,1091,22-35%
783,2017-02-22,20.0,1094,11-21%
784,2017-02-23,13.0,1255,11-21%
785,2017-02-24,7.0,1241,4-10%
786,2017-02-25,2.0,1243,0-3%
787,2017-02-26,0.0,1009,0-3%
788,2017-02-27,0.0,1209,0-3%
789,2017-02-28,3.0,1283,0-3%
790,2017-03-01,8.0,1540,4-10%
791,2017-03-02,16.0,1159,11-21%
792,2017-03-03,25.0,1248,22-35%
793,2017-03-04,36.0,1174,36-50%
794,2017-03-05,47.0,1068,36-50%
795,2017-03-06,58.0,1111,51-65%
796,2017-03-07,69.0,1224,66-78%
797,2017-03-08,79.0,1342,66-78%
798,2017-03-09,87.0,1227,79-89%
799,2017-03-10,94.0,1248,90-96%
800,2017-03-11,98.0,1060,97-100%
801,2017-03-12,100.0,981,97-100%
802,2017-03-13,100.0,1077,97-100%
803,2017-03-14,97.0,625,90-96%
804,2017-03-15,93.0,972,90-96%
805,2017-03-16,88.0,1092,79-89%
806,2017-03-17,81.0,1288,79-89%
807,2017-03-18,73.0,1169,66-78%
808,2017-03-19,64.0,1039,51-65%
809,2017-03-20,54.0,1225,51-65%
810,2017-03-21,45.0,1263,36-50%
811,2017-03-22,35.0,1210,22-35%
812,2017-03-23,26.0,1256,22-35%
813,2017-03-24,18.0,1350,11-21%
814,2017-03-25,10.0,1268,4-10%
815,2017-03-26,5.0,1031,4-10%
816,2017-03-27,1.0,1090,0-3%
817,2017-03-28,0.0,1230,0-3%
818,2017-03-29,2.0,1207,0-3%
819,2017-03-30,6.0,1209,4-10%
820,2017-03-31,13.0,1120,11-21%
821,2017-04-01,22.0,1446,22-35%
822,2017-04-02,33.0,1217,22-35%
823,2017-04-03,44.0,1363,36-50%
824,2017-04-04,55.0,1244,51-65%
825,2017-04-05,66.0,1254,51-65%
826,2017-04-06,76.0,1139,66-78%
827,2017-04-07,84.0,1264,79-89%
828,2017-04-08,91.0,1220,90-96%
829,2017-04-09,96.0,1134,90-96%
830,2017-04-10,99.0,1308,97-100%
831,2017-04-11,100.0,1222,97-100%
832,2017-04-12,99.0,1288,97-100%
833,2017-04-13,96.0,1222,90-96%
834,2017-04-14,92.0,1246,90-96%
835,2017-04-15,86.0,1207,79-89%
836,2017-04-16,79.0,1171,66-78%
837,2017-04-17,71.0,1285,66-78%
838,2017-04-18,62.0,1259,51-65%
839,2017-04-19,52.0,1262,51-65%
840,2017-04-20,42.0,1257,36-50%
841,2017-04-21,32.0,1311,22-35%
842,2017-04-22,23.0,1241,22-35%
843,2017-04-23,14.0,1111,11-21%
844,2017-04-24,7.0,1196,4-10%
845,2017-04-25,3.0,1197,0-3%
846,2017-04-26,0.0,1188,0-3%
847,2017-04-27,1.0,1285,0-3%
848,2017-04-28,5.0,1405,4-10%
849,2017-04-29,11.0,1353,11-21%
850,2017-04-30,19.0,1203,11-21%
851,2017-05-01,29.0,1562,22-35%
852,2017-05-02,40.0,1409,36-50%
853,2017-05-03,51.0,1375,36-50%
854,2017-05-04,62.0,1342,51-65%
855,2017-05-05,72.0,1283,66-78%
856,2017-05-06,80.0,1309,79-89%
857,2017-05-07,88.0,1191,79-89%
858,2017-05-08,93.0,1190,90-96%
859,2017-05-09,97.0,1237,90-96%
860,2017-05-10,99.0,1392,97-100%
861,2017-05-11,100.0,1290,97-100%
862,2017-05-12,98.0,1321,97-100%
863,2017-05-13,95.0,1030,90-96%
864,2017-05-14,90.0,1106,79-89%
865,2017-05-15,84.0,1317,79-89%
866,2017-05-16,77.0,1303,66-78%
867,2017-05-17,68.0,1436,66-78%
868,2017-05-18,58.0,1343,51-65%
869,2017-05-19,48.0,1451,36-50%
870,2017-05-20,38.0,1336,36-50%
871,2017-05-21,28.0,1277,22-35%
872,2017-05-22,18.0,1080,11-21%
873,2017-05-23,10.0,1351,4-10%
874,2017-05-24,4.0,1435,4-10%
875,2017-05-25,1.0,1234,0-3%
876,2017-05-26,0.0,1358,0-3%
877,2017-05-27,3.0,1431,0-3%
878,2017-05-28,9.0,1259,4-10%
879,2017-05-29,16.0,1109,11-21%
880,2017-05-30,26.0,1334,22-35%
881,2017-05-31,36.0,1264,36-50%
882,2017-06-01,47.0,1681,36-50%
883,2017-06-02,57.0,1409,51-65%
884,2017-06-03,67.0,1319,66-78%
885,2017-06-04,76.0,1163,66-78%
886,2017-06-05,84.0,1275,79-89%
887,2017-06-06,90.0,1240,79-89%
888,2017-06-07,95.0,1306,90-96%
889,2017-06-08,98.0,1302,97-100%
890,2017-06-09,100.0,1427,97-100%
891,2017-06-10,99.0,1353,97-100%
892,2017-06-11,97.0,1244,90-96%
893,2017-06-12,94.0,1237,90-96%
894,2017-06-13,88.0,1247,79-89%
895,2017-06-14,81.0,1367,79-89%
896,2017-06-15,73.0,1415,66-78%
897,2017-06-16,63.0,1375,51-65%
898,2017-06-17,53.0,1275,51-65%
899,2017-06-18,42.0,1197,36-50%
900,2017-06-19,31.0,1210,22-35%
901,2017-06-20,21.0,1422,11-21%
902,2017-06-21,13.0,1422,11-21%
903,2017-06-22,6.0,1369,4-10%
904,2017-06-23,1.0,1385,0-3%
905,2017-06-24,0.0,1334,0-3%
906,2017-06-25,2.0,1314,0-3%
907,2017-06-26,6.0,1356,4-10%
908,2017-06-27,13.0,1320,11-21%
909,2017-06-28,22.0,1340,22-35%
910,2017-06-29,32.0,1259,22-35%
911,2017-06-30,42.0,1414,36-50%
912,2017-07-01,52.0,1583,51-65%
913,2017-07-02,62.0,1259,51-65%
914,2017-07-03,71.0,1379,66-78%
915,2017-07-04,79.0,1326,66-78%
916,2017-07-05,86.0,1444,79-89%
917,2017-07-06,92.0,1293,90-96%
918,2017-07-07,96.0,1368,90-96%
919,2017-07-08,99.0,1309,97-100%
920,2017-07-09,100.0,1279,97-100%
921,2017-07-10,99.0,1316,97-100%
922,2017-07-11,96.0,1170,90-96%
923,2017-07-12,91.0,1391,90-96%
924,2017-07-13,85.0,1380,79-89%
925,2017-07-14,77.0,1275,66-78%
926,2017-07-15,67.0,1339,66-78%
927,2017-07-16,57.0,1270,51-65%
928,2017-07-17,46.0,1359,36-50%
929,2017-07-18,34.0,1388,22-35%
930,2017-07-19,24.0,1445,22-35%
931,2017-07-20,15.0,1339,11-21%
932,2017-07-21,7.0,1358,4-10%
933,2017-07-22,2.0,1401,0-3%
934,2017-07-23,0.0,1340,0-3%
935,2017-07-24,1.0,1250,0-3%
936,2017-07-25,4.0,1372,4-10%
937,2017-07-26,10.0,1352,4-10%
938,2017-07-27,18.0,1313,11-21%
939,2017-07-28,27.0,1487,22-35%
940,2017-07-29,36.0,1276,36-50%
941,2017-07-30,46.0,1179,36-50%
942,2017-07-31,56.0,1255,51-65%
943,2017-08-01,65.0,1519,51-65%
944,2017-08-02,74.0,1378,66-78%
945,2017-08-03,82.0,1454,79-89%
946,2017-08-04,88.0,1419,79-89%
947,2017-08-05,94.0,1357,90-96%
948,2017-08-06,98.0,1231,97-100%
949,2017-08-07,100.0,1151,97-100%
950,2017-08-08,100.0,1386,97-100%
951,2017-08-09,98.0,1373,97-100%
952,2017-08-10,94.0,1387,90-96%
953,2017-08-11,88.0,1409,79-89%
954,2017-08-12,80.0,1326,79-89%
955,2017-08-13,70.0,1274,66-78%
956,2017-08-14,60.0,1329,51-65%
957,2017-08-15,48.0,1348,36-50%
958,2017-08-16,37.0,1393,36-50%
959,2017-08-17,26.0,1404,22-35%
960,2017-08-18,17.0,1224,11-21%
961,2017-08-19,9.0,1364,4-10%
962,2017-08-20,3.0,1273,0-3%
963,2017-08-21,0.0,1250,0-3%
964,2017-08-22,0.0,1321,0-3%
965,2017-08-23,3.0,1408,0-3%
966,2017-08-24,7.0,1364,4-10%
967,2017-08-25,14.0,1435,11-21%
968,2017-08-26,21.0,1223,11-21%
969,2017-08-27,30.0,1276,22-35%
970,2017-08-28,39.0,1200,36-50%
971,2017-08-29,49.0,1111,36-50%
972,2017-08-30,58.0,1353,51-65%
973,2017-08-31,67.0,1325,66-78%
974,2017-09-01,76.0,1497,66-78%
975,2017-09-02,84.0,1346,79-89%
976,2017-09-03,90.0,1084,79-89%
977,2017-09-04,95.0,1228,90-96%
978,2017-09-05,99.0,1394,97-100%
979,2017-09-06,100.0,1254,97-100%
980,2017-09-07,99.0,1333,97-100%
981,2017-09-08,96.0,1392,90-96%
982,2017-09-09,90.0,1305,79-89%
983,2017-09-10,82.0,1254,79-89%
984,2017-09-11,73.0,1198,66-78%
985,2017-09-12,62.0,1280,51-65%
986,2017-09-13,51.0,1349,36-50%
987,2017-09-14,39.0,1347,36-50%
988,2017-09-15,29.0,1510,22-35%
989,2017-09-16,19.0,1426,11-21%
990,2017-09-17,11.0,1293,11-21%
991,2017-09-18,5.0,1275,4-10%
992,2017-09-19,1.0,1173,0-3%
993,2017-09-20,0.0,1436,0-3%
994,2017-09-21,1.0,1317,0-3%
995,2017-09-22,4.0,1393,4-10%
996,2017-09-23,10.0,1474,4-10%
997,2017-09-24,16.0,1272,11-21%
998,2017-09-25,24.0,1205,22-35%
999,2017-09-26,32.0,1284,22-35%
1000,2017-09-27,42.0,1342,36-50%
1001,2017-09-28,51.0,1452,36-50%
1002,2017-09-29,60.0,1327,51-65%
1003,2017-09-30,70.0,1293,66-78%
1004,2017-10-01,78.0,1317,66-78%
1005,2017-10-02,86.0,1289,79-89%
1006,2017-10-03,92.0,1281,90-96%
1007,2017-10-04,97.0,1342,90-96%
1008,2017-10-05,100.0,1330,97-100%
1009,2017-10-06,100.0,1591,97-100%
1010,2017-10-07,97.0,1287,90-96%
1011,2017-10-08,92.0,1163,90-96%
1012,2017-10-09,85.0,1141,79-89%
1013,2017-10-10,75.0,1453,66-78%
1014,2017-10-11,65.0,1400,51-65%
1015,2017-10-12,54.0,1330,51-65%
1016,2017-10-13,42.0,1500,36-50%
1017,2017-10-14,32.0,1304,22-35%
1018,2017-10-15,22.0,1333,22-35%
1019,2017-10-16,14.0,1222,11-21%
1020,2017-10-17,7.0,1282,4-10%
1021,2017-10-18,3.0,1331,0-3%
1022,2017-10-19,1.0,1362,0-3%
1023,2017-10-20,0.0,1351,0-3%
1024,2017-10-21,2.0,1351,0-3%
1025,2017-10-22,6.0,1217,4-10%
1026,2017-10-23,11.0,1389,11-21%
1027,2017-10-24,18.0,1354,11-21%
1028,2017-10-25,25.0,1416,22-35%
1029,2017-10-26,34.0,1338,22-35%
1030,2017-10-27,43.0,1304,36-50%
1031,2017-10-28,53.0,1315,51-65%
1032,2017-10-29,62.0,1126,51-65%
1033,2017-10-30,72.0,1137,66-78%
1034,2017-10-31,81.0,1407,79-89%
1035,2017-11-01,88.0,1378,79-89%
1036,2017-11-02,94.0,1408,90-96%
1037,2017-11-03,98.0,1401,97-100%
1038,2017-11-04,100.0,1193,97-100%
1039,2017-11-05,98.0,1103,97-100%
1040,2017-11-06,94.0,1219,90-96%
1041,2017-11-07,87.0,1163,79-89%
1042,2017-11-08,79.0,1251,66-78%
1043,2017-11-09,68.0,1255,66-78%
1044,2017-11-10,57.0,1194,51-65%
1045,2017-11-11,46.0,1120,36-50%
1046,2017-11-12,36.0,1122,36-50%
1047,2017-11-13,26.0,1188,22-35%
1048,2017-11-14,17.0,1194,11-21%
1049,2017-11-15,10.0,1301,4-10%
1050,2017-11-16,5.0,1186,4-10%
1051,2017-11-17,2.0,1293,0-3%
1052,2017-11-18,0.0,1293,0-3%
1053,2017-11-19,1.0,1128,0-3%
1054,2017-11-20,3.0,1202,0-3%
1055,2017-11-21,7.0,1155,4-10%
1056,2017-11-22,12.0,1268,11-21%
1057,2017-11-23,19.0,821,11-21%
1058,2017-11-24,27.0,1218,22-35%
1059,2017-11-25,36.0,1202,36-50%
1060,2017-11-26,45.0,1113,36-50%
1061,2017-11-27,55.0,1234,51-65%
1062,2017-11-28,65.0,1231,51-65%
1063,2017-11-29,75.0,1229,66-78%
1064,2017-11-30,84.0,1282,79-89%
1065,2017-12-01,91.0,1424,90-96%
1066,2017-12-02,97.0,1217,90-96%
1067,2017-12-03,100.0,1114,97-100%
1068,2017-12-04,99.0,1192,97-100%
1069,2017-12-05,96.0,1262,90-96%
1070,2017-12-06,90.0,1233,79-89%
1071,2017-12-07,82.0,1201,79-89%
1072,2017-12-08,73.0,1297,66-78%
1073,2017-12-09,62.0,1087,51-65%
1074,2017-12-10,51.0,1097,36-50%
1075,2017-12-11,41.0,1093,36-50%
1076,2017-12-12,31.0,1160,22-35%
1077,2017-12-13,22.0,1080,22-35%
1078,2017-12-14,15.0,1030,11-21%
1079,2017-12-15,9.0,1103,4-10%
1080,2017-12-16,4.0,1129,4-10%
1081,2017-12-17,1.0,1129,0-3%
1082,2017-12-18,0.0,1069,0-3%
1083,2017-12-19,1.0,1166,0-3%
1084,2017-12-20,3.0,1205,0-3%
1085,2017-12-21,8.0,1143,4-10%
1086,2017-12-22,13.0,1183,11-21%
1087,2017-12-23,20.0,1117,11-21%
1088,2017-12-24,29.0,911,22-35%
1089,2017-12-25,38.0,717,36-50%
1090,2017-12-26,48.0,912,36-50%
1091,2017-12-27,59.0,939,51-65%
1092,2017-12-28,69.0,905,66-78%
1093,2017-12-29,79.0,895,66-78%
1094,2017-12-30,88.0,840,79-89%
1095,2017-12-31,94.0,609,90-96%
